id,title,overview,release_date,poster_path,youtube_trailer_id,vote_average,vote_count
49133,Lamerica,"Fiore, an Italian conman, arrives in post Communist Albania with Gino, his young apprentice, to set up a shoe factory that will never open. The con requires a native Albanian, so they designate Spiro, an impoverished and confused former political prisoner as chairman of the board. When Fiore returns to Italy to get government funds for the project, Spiro unexpectedly disappears and Gino sets out on a journey to find him. The search leads him to discover Spiro's tragic personal history and witness Albanian poverty firsthand.",1994-09-09,/nnLpA4mqb3gvhNJQZ00cOyBmeq3.jpg,3Fd6ZlgOFqs,7.1,62
26441,The Big Green,"In a depressed Texas town, British foreign exchange teacher Anna attempts to inject some life into her hopeless kids by introducing them to soccer. They're terrible at first, but Anna and her football-hero assistant whip them into shape. As they work overtime, the pair help kids build their self-esteem and also get involved in solving family squabbles.",1995-09-29,/nVHqIuBTcTLmAIrML7T704UwfNI.jpg,KzkCfQaYE-E,5.6,200
97406,Georgia,"Sadie looks up to her older sister Georgia, a successful folk singer. Unfortunately it is this very obsession — coupled with her self-destructive tendencies and rampant drug abuse — that keeps her spiraling down the drain.",1995-05-19,/uXjfK404xo7SiVlFcAoRyaFqXR4.jpg,LfM1kP34Dz8,5.7,46
9089,Home for the Holidays,"After losing her job, making out with her soon-to-be former boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces spending the holiday with her unhinged family.",1995-11-02,/3zqlKdOttWyExzopVxglz50Vjxq.jpg,2Sp6uYlu-0c,6.2,190
11010,The Postman,Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.,1994-09-22,/cUaCpjVDefYShKyLmkcDsiPaBHn.jpg,SgbbmwHpoAA,7.9,1206
11359,The Indian in the Cupboard,A nine-year-old boy gets a plastic Indian and a cupboard for his birthday and finds himself involved in adventure when the Indian comes to life and befriends him.,1995-07-14,/ozQAmW85tTJu2dhRe3evzyY03Nb.jpg,kQVketPgcuE,6.5,669
17182,Eye for an Eye,"It's fire and brimstone time as grieving mother Karen McCann takes justice into her own hands when a kangaroo court in Los Angeles fails to convict Robert Doob, the monster who raped and murdered her 17-year-old daughter.",1996-01-12,/y2lZSdJ1o0VvLegTw3ad6KFtxra.jpg,jY56N6irNCk,6.2,458
2054,Mr. Holland's Opus,"In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose.",1995-12-29,/kBmwWeSN3ajnYHZ3dSybEobxEPI.jpg,1nsHT-9kFtE,7.0,447
10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,"When Ashtray moves to South Central L.A. to live with his father (who appears to be the same age he is) and grandmother (who likes to talk tough and smoke reefer), he falls in with his gang-banging cousin Loc Dog, who along with the requisite pistols and Uzi carries a thermo-nuclear warhead for self-defense. Will Ashtray be able to keep living the straight life?",1996-01-12,/HZQBF7JDd2e9p4rPSbSHuWHaCC.jpg,bD2wZ6DqdjQ,7.0,1478
19760,Two If by Sea,"Frank O'Brien, a petty thief, and his 7-year-long girlfriend Roz want to put an end to their unsteady lifestyle and just do that last job, which involves stealing a valuable painting. Frank takes Roz to an island on the coast of New England, where he wants to sell the painting and also hopes that their sagging relationship will get a positive push back up. Not everything goes as planned.",1996-01-12,/xSfqAMYqrTtDeAjPtYo0S8nc5Zz.jpg,cN2omT-8oRs,4.9,97
9536,Bio-Dome,"Moronic best friends get themselves locked inside the Bio-Dome, a science experiment, along with a group of environmental scientists for one year.",1996-01-12,/pjSkGZAvksrbO6tGain8PJ3rfC7.jpg,4xD1ujNkZXs,4.5,397
11525,Lawnmower Man 2: Beyond Cyberspace,"After being rescued from the ruins of Virtual Space Industries, Jobe is rebuilt and reconnected to virtual reality by corporate mogul Jonathan Walker. Years later, teenage hacker Peter Parkette helps Jobe locate Benjamin Trace, the original creator of virtual reality, only to uncover Jobe’s plan to launch a new world order using Walker’s tech. Now, Peter, Trace, Cori, and a band of runaways must stop Jobe and Walker before they enslave humanity through cyberspace.",1996-01-12,/aP8eGsCyZVCHgSMxhDa4KiC7H9B.jpg,0U1vomY6kUg,3.3,170
4482,French Twist,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.",1995-01-18,/xlLnHizshGBwMiNrnop2kg2nYzE.jpg,,6.0,320
10634,Friday,"Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do.",1995-04-26,/2lReF53F8trkC68piGSfk0JVwWU.jpg,umvFBoLOOgo,7.1,1984
755,From Dusk Till Dawn,"After kidnapping a father and his two kids, the Gecko brothers head south to a seedy Mexican bar to hide out in safety, unaware of its notorious vampire clientele.",1996-01-19,/sV3kIAmvJ9tPz4Lq5fuf9LLMxte.jpg,y-J9bBvO5dk,7.0,6437
11859,Fair Game,"Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her",1995-11-03,/qcxsWOzBaF7MZNNThtRQWQ9Wrdk.jpg,,5.1,331
28387,Kicking and Screaming,"After college graduation, Grover's girlfriend Jane tells him she's moving to Prague to study writing. Grover declines to accompany her, deciding instead to move in with several friends, all of whom can't quite work up the inertia to escape their university's pull. Nobody wants to make any big decisions that would radically alter his life, yet none of them wants to end up like Chet, the professional student who tends bar and is in his tenth year of university studies.",1995-10-06,/ynAtSpTou7snNOq32djzILw9VCA.jpg,g9ul_89gqI4,6.2,234
48750,Les Miserables,"In WWII France, poor and illiterate Henri Fortin is introduced to Victor Hugo's classic novel Les Misérables and begins to see parallels between the book and his own life.",1995-03-22,/toQ6BJCiKVSnklpsma2GnJ6KKah.jpg,,6.6,85
20927,Bed of Roses,"The seeds of love are planted when Lisa, a high-powered investment banker, receives flowers from a secret admirer. But when his fairy-tale fantasies clash with her workaholic ways, they soon find out that sometimes, it's harder than it seems for love to conquer all.",1996-01-26,/zCXvHCEm8334d0d646ldDkXnKws.jpg,GJ6-ymSjShg,5.8,123
36929,Big Bully,"A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again.",1996-01-26,/dws3JR4Yi325Tz33XnuXEB6XjGr.jpg,WnnQd7lItOg,4.6,78
9102,Screamers,"SIRIUS 6B, Year 2078. On a distant mining planet ravaged by a decade of war, scientists have created the perfect weapon: a blade-wielding, self-replicating race of killing devices known as Screamers designed for one purpose only -- to hunt down and destroy all enemy life forms.",1995-09-08,/eqgBf791rMZG7ywHfObpXeMpiRf.jpg,qrgAvr0TIr4,6.2,593
124626,Nico Icon,"A look into the many lives of Christa Päffgen, otherwise known as Nico; from cutie German mädchen to the first of the supermodels, to glamorous diva of the Velvet Underground, to cult item, junkie and hag. Many faces for the same woman, whom, you realize, just couldn't bring herself to care enough to live.",1995-09-08,/w3oiJZTB1UP3lj0uSVLdsYfsBbC.jpg,CrsD97bF48g,7.5,10
27526,The Crossing Guard,"Unable to move on from the loss of his daughter, Freddy, now a shell of the person he was before, swears to kill the man responsible for her death.",1995-01-26,/1WOfl9LN4gqpjwWZjGSHW8fCgSZ.jpg,kDdwRURSEzI,6.0,282
9623,The Juror,"With his gangster boss on trial for murder, a mob thug known as ""the Teacher"" tells Annie Laird she must talk her fellow jurors into a not-guilty verdict, implying that he'll kill her son Oliver if she fails. She manages to do this, but, when it becomes clear that the mobsters might want to silence her for good, she sends Oliver abroad and tries to gather evidence of the plot against her, setting up a final showdown.",1996-02-02,/31mRYhJvaknQx8PQnR2UV7YCkLT.jpg,Awng-jZnkoY,5.7,436
46785,The White Balloon,Several people try to take advantage of a little girl's innocence to hustle money her mom gave to her to buy a goldfish with.,1995-01-02,/u6jrlgZZx3zSFPDPTVOYpueljgH.jpg,bltXpgXuUp8,7.5,111
400,Things to Do in Denver When You're Dead,Five different criminals face imminent death after botching a job quite badly.,1995-12-01,/3LxYzYybOVpnw0juCSlNL5cj8NK.jpg,i1o_PO3ridY,6.4,425
880,Antonia's Line,"After World War II, Antonia and her daughter, Danielle, go back to their Dutch hometown, where Antonia's late mother has bestowed a small farm upon her. There, Antonia settles down and joins a tightly-knit but unusual community. Those around her include quirky friend Crooked Finger, would-be suitor Bas and, eventually for Antonia, a granddaughter and great-granddaughter who help create a strong family of empowered women.",1995-09-21,/nUCVi6bBIL7LGC61nYaCqikAhIA.jpg,3n1O-sKecdA,6.8,143
146599,Once Upon a Time... When We Were Colored,A narrator tells the story of his childhood years in a tightly knit Afro-American community in the deep south under racial segregation.,1996-01-26,/2qeQStLy1wiqDFa1Dnm02f5UacO.jpg,,3.6,5
8447,Angels and Insects,"In Victorian England, wealthy patriarch Sir Harald Alabaster invites an impoverished biologist, William Adamson, into his home. There, William tries to continue his work, but is distracted by Alabaster's seductive daughter, Eugenia. William and Eugenia begin a torrid romance, but as the couple become closer, the young scientist begins to realize that dark, disturbing things are happening behind the closed doors of the Alabaster manor.",1995-09-10,/w1i5JdddoLuzSmnKo5ORDoKdMm2.jpg,,6.1,56
10534,White Squall,"In 1960, a hardy group of prep school students boards an old-fashioned sailing ship. With Capt. Christopher Sheldon at the helm, the oceangoing voyage is intended to teach the boys fortitude and discipline. But the youthful crew are about to get some unexpected instruction in survival when they get caught in the clutches of a white squall storm.",1996-02-02,/5xF4qy44Lvv68glS7eHWH7laTqt.jpg,bQiKlj2qI5c,6.3,399
17414,Dunston Checks In,"Hotel manager Robert Grant is forced by his boss to postpone his family vacation when a hotel critic checks in. Trouble is, the critic is really a villainous jewel thief with an orangutan assistant named Dunston. When Dunston gets loose and tries to escape a life of crime -- aided by Robert's sons -- havoc, hijinks and lots of laughs abound!",1996-01-12,/xR2cWC04kWNr7TBeXNOf4uOqn00.jpg,,5.4,241
